League,Team,Performance_Axis,Game_Control_Axis,Average_salary(€m),Cluster_Label,Goals_scored/90,xG/90,Goals_conceded/90,xG_conceded/90,Shot_conversion_rate(%),Big_chances_conversion rate,Possession(%),Pass/90,Long_balls/90,Crosses/90,Clearances/90,Possession_won_midfield/90,Possession_won_attacking_3rd/90,Touches_in_opposition_box/90,Tackles/90,Interceptions/90,Saves/90
Italy,Sassuolo,-0.42574746594306034,-1.9028142735532014,1.568569,Cluster 3,1.2,1.1,1.3,1.5,11.4,40.0,46.1,401.20336943441635,47.93577981651376,11.888111888111887,25.3,14.9,2.6,19.3,13.6,8.2,3.5
Italy,Torino,-1.033847863972104,-1.6335690960798255,2.072636,Cluster 0,1.2,1.2,1.7,1.4,9.8,38.095238095238095,44.2,375.125,55.18763796909493,17.551020408163264,26.5,16.8,3.2,19.7,16.1,8.1,2.8
Italy,Udinese,-0.543949045783331,-1.283619543674747,0.991064,Cluster 3,1.2,1.1,1.3,1.4,10.3,38.888888888888886,45.6,370.0369913686807,50.220264317180614,15.0,27.8,17.0,3.1,20.4,15.2,8.2,2.6
Spain,Athletic Club,-0.6348078222009274,1.7424951900439414,3.341913,Cluster 2,1.1,1.3,1.5,1.1,8.2,38.095238095238095,48.6,409.4645080946451,52.61958997722096,24.299065420560748,21.3,22.0,5.6,25.7,15.0,9.2,2.7
Spain,Atletico Madrid,1.1966721063875365,1.736543815216625,6.429775,Cluster 2,1.6,1.6,1.2,1.3,12.5,36.66666666666667,53.3,505.4906542056075,48.58757062146893,20.622568093385212,21.4,18.7,4.1,27.9,17.0,7.8,2.6
Spain,Barcelona,4.047885000481255,4.941424723461226,8.365386,Cluster 1,2.5,2.3,0.9,1.2,13.7,40.476190476190474,68.8,652.5555555555555,35.82887700534759,14.96062992125984,18.8,19.5,4.3,35.3,16.3,7.4,2.6
Spain,Celta Vigo,1.1393147648242035,-0.16856755695173334,1.682143,Cluster 3,1.4,1.3,1.3,1.3,13.9,45.83333333333333,50.5,497.5609756097561,46.25,11.415525114155251,24.1,16.1,3.1,19.7,14.3,7.2,3.0
Spain,Deportivo Alaves,-0.6168793117585158,-0.43331891205768613,1.1115,Cluster 0,1.2,1.2,1.5,1.3,9.5,40.0,48.0,404.10447761194024,54.71264367816092,20.161290322580644,23.7,18.4,3.7,20.5,18.2,7.8,2.6
Spain,Elche,-1.027100882700478,-0.0968060078460097,1.154591,Cluster 3,1.3,1.1,1.5,1.7,12.0,33.333333333333336,57.7,498.13084112149534,52.04301075268817,16.015625,22.7,16.4,3.3,20.2,17.7,8.2,3.1
Spain,Espanyol,-1.3193618830934557,-1.8947392656383917,1.273958,Cluster 0,1.1,1.3,1.4,1.5,9.0,30.000000000000004,42.3,348.1528662420382,51.77664974619289,21.304347826086957,24.6,16.7,3.6,19.2,16.1,8.4,3.6
Spain,Getafe,-0.16565747096692304,-3.660660390866478,1.31234,Cluster 0,0.8,0.8,1.0,1.1,9.1,53.846153846153854,40.1,287.1201157742403,65.5440414507772,18.750000000000004,28.0,17.1,3.2,15.3,18.0,8.9,3.1
Spain,Girona,-1.389968328480073,-0.47906977567694325,1.855218,Cluster 3,1.0,1.3,1.4,1.5,9.2,30.000000000000004,50.7,467.2112018669778,47.5054229934924,15.454545454545453,25.1,16.6,3.1,21.7,15.5,7.7,3.3
Spain,Levante,-1.0346346107687863,-2.194673335055493,1.010515,Cluster 0,1.2,1.4,1.6,1.6,9.9,36.0,42.8,355.2896725440806,54.337899543378995,17.69230769230769,26.6,16.0,3.7,20.8,15.7,8.7,3.6
Spain,Mallorca,-0.9049775906571916,-1.684495208381732,1.69619,Cluster 3,1.2,1.1,1.5,1.6,11.4,38.095238095238095,46.9,396.9173859432799,57.362637362637365,19.402985074626866,28.9,15.9,3.2,18.6,14.7,7.2,3.0
Spain,Osasuna,-0.2240346580731137,-0.7691541958798838,1.342408,Cluster 3,1.2,1.2,1.3,1.3,9.8,42.10526315789473,46.8,386.06965174129346,52.87610619469026,20.817843866171,26.5,17.2,3.7,23.1,14.5,7.8,3.2
Spain,Rayo Vallecano,-0.7619457063187773,-0.7335698884084989,1.364692,Cluster 0,1.1,1.4,1.2,1.3,7.7,33.333333333333336,53.4,417.5182481751824,59.68819599109131,20.187793427230044,26.1,19.6,3.3,19.8,18.0,8.3,2.9
Spain,Real Betis,0.9823677065313109,-0.2939157944699224,2.799977,Cluster 0,1.6,1.5,1.3,1.2,10.9,41.666666666666664,50.2,470.27027027027026,47.18162839248435,14.754098360655739,28.1,17.4,4.7,22.6,17.3,9.0,3.3
Spain,Real Madrid,2.8730986589524563,3.973021806872879,14.361118,Cluster 1,2.0,2.1,0.9,1.1,11.6,38.70967741935485,59.4,586.845039018952,45.704467353951884,15.16393442622951,16.8,18.3,4.5,35.1,15.6,6.6,2.3
Spain,Real Oviedo,-3.070753616286915,-2.840343134304009,1.164518,Cluster 0,0.7,0.9,1.6,1.6,6.9,31.25,46.1,390.8312958435208,56.9937369519833,17.316017316017316,26.9,16.6,2.8,16.8,17.8,7.9,4.0
Spain,Real Sociedad,0.018403157601340654,0.14605992265333742,2.620503,Cluster 0,1.6,1.4,1.6,1.5,12.6,33.333333333333336,51.3,448.49578820697957,48.73417721518988,17.105263157894736,24.9,18.7,3.8,21.6,17.8,7.9,2.8
Spain,Sevilla,-1.1702007637711433,-0.485566962886406,2.475676,Cluster 0,1.2,1.0,1.6,1.5,10.5,38.46153846153846,51.0,405.2890528905289,53.42163355408389,16.412213740458014,24.3,18.8,3.3,21.4,18.1,8.6,2.6
Spain,Valencia,-0.14403099300527408,-0.5417616910195039,1.956003,Cluster 3,1.2,1.3,1.4,1.2,10.2,38.095238095238095,47.6,405.9975520195838,50.91743119266055,18.333333333333336,26.6,17.0,3.9,21.4,15.9,7.7,2.8
Spain,Villarreal,2.637139717700024,-1.1425740862853953,2.80184,Cluster 3,1.9,1.6,1.2,1.2,15.8,42.85714285714285,44.5,409.3862815884477,45.922746781115876,12.4031007751938,27.0,15.1,3.4,24.9,17.2,8.7,2.7
